Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019
Azerbaijan,5.2120000000000015,5.291,5.2340002059936515,5.2010000000000005,5.207999999999998
Panama,6.7860000000000005,6.7010000000000005,6.4520001411438,6.43,6.3210000000000015
Mexico,7.187,6.778,6.57800006866455,6.488,6.595
Venezuela,6.81,6.084,5.25,4.806,4.707
Rwanda,3.465,3.515,3.47099995613098,3.408,3.334
