,Country,Happiness Score_2015,Happiness Score_2016,Happiness Score_2017,Happiness Score_2018,Happiness Score_2019,Avg Happiness,ContinentName,City,CapitalLatitude,CapitalLongitude,Temp,Cloudiness,Wind Speed,Humidity
117,Sri Lanka,4.271,4.415,4.44000005722046,4.471,4.3660000000000005,4.392600011444092,Asia,Colombo,6.916666666666668,79.833333,78.8,0.0,1.14,83.0
118,Cameroon,4.252,4.513,4.69500017166138,4.975,5.044,4.695800034332277,,,,,,,,
119,Bulgaria,4.218,4.217,4.71400022506714,4.933,5.011,4.618600045013428,Europe,Sofia,42.68333333333333,23.316667000000002,26.6,90.0,9.22,74.0
120,Egypt,4.194,4.362,4.7350001335144,4.419,4.166,4.375200026702879,Africa,Cairo,30.05,31.25,64.13,0.0,6.91,52.0
121,Yemen,4.077,3.724,3.59299993515015,3.355,3.38,3.6257999870300304,Asia,Sanaa,15.35,44.2,64.02,7.0,5.59,31.0
122,Mali,3.995,4.073,4.19000005722046,4.447,4.39,4.219000011444092,Africa,Bamako,12.65,-8.0,100.4,20.0,3.44,20.0
123,Congo (Brazzaville),3.989,4.2360000000000015,4.29099988937378,4.559,4.812,4.377399977874757,,,,,,,,
124,Uganda,3.931,3.739,4.08099985122681,4.1610000000000005,4.189,4.020199970245362,Africa,Kampala,0.31666666666666665,32.55,77.0,20.0,6.91,83.0
125,Senegal,3.904,4.2189999999999985,4.53499984741211,4.631,4.681,4.393999969482421,Africa,Dakar,14.733333333333333,-17.633333,78.8,61.0,2.3,38.0
126,Gabon,3.896,4.121,4.46500015258789,4.758,4.799,4.407800030517578,Africa,Libreville,0.38333333333333336,9.45,84.2,40.0,9.22,79.0
127,Niger,3.845,3.856,4.02799987792969,4.166,4.628,4.104599975585939,Africa,Niamey,13.516666666666667,2.1166669999999996,98.6,0.0,9.22,8.0
128,Cambodia,3.819,3.907,4.1680002212524405,4.433,4.7,4.205400044250489,Asia,Phnom Penh,11.55,104.91666699999999,77.0,20.0,3.44,83.0
129,Tanzania,3.781,3.666,3.34899997711182,3.303,3.2310000000000003,3.4659999954223637,Africa,Dar es Salaam,-6.8,39.283333,81.59,3.0,10.92,76.0
130,Madagascar,3.681,3.695,3.64400005340576,3.774,3.933,3.7454000106811516,Africa,Antananarivo,-18.916666666666668,47.516667,66.2,75.0,4.61,94.0
131,Chad,3.667,3.763,3.9360001087188703,4.301,4.35,4.003400021743774,Africa,N'Djamena,12.1,15.033332999999999,96.8,0.0,13.8,7.0
132,Guinea,3.656,3.607,3.50699996948242,3.964,4.534,3.8535999938964838,Africa,Conakry,9.5,-13.7,87.8,4.0,9.22,62.0
133,Ivory Coast,3.655,3.916,4.17999982833862,4.671,4.944,4.273199965667724,,,,,,,,
134,Burkina Faso,3.587,3.739,4.03200006484985,4.424,4.587,4.07380001296997,Africa,Ouagadougou,12.366666666666667,-1.516667,100.4,24.0,4.61,10.0
135,Afghanistan,3.575,3.36,3.79399991035461,3.632,3.2030000000000003,3.5127999820709217,Asia,Kabul,34.516666666666666,69.18333299999999,42.8,0.0,3.44,28.0
136,Rwanda,3.465,3.515,3.47099995613098,3.408,3.334,3.438599991226196,Africa,Kigali,-1.95,30.05,69.39,75.0,8.05,64.0
137,Benin,3.34,3.484,3.65700006484985,4.141,4.883,3.9010000129699702,Africa,Porto-Novo,6.4833333333333325,2.6166669999999996,86.0,40.0,12.66,79.0
138,Syria,3.006,3.069,3.46199989318848,3.462,3.462,3.2921999786376963,Asia,Damascus,33.5,36.3,53.6,0.0,13.8,66.0
139,Burundi,2.905,2.905,2.90499997138977,2.905,3.775,3.0789999942779533,Africa,Bujumbura,-3.3666666666666667,29.35,75.85,86.0,2.77,71.0
140,Togo,2.839,3.303,3.4949998855590803,3.999,4.085,3.544199977111816,,,,,,,,
